symbol,date,close,open,high,low,adjclose,adjopen,adjhigh,adjlow,vwap,adjvwap,adjfactor,volume
000002.SZ,2012-01-04,7.33,7.47,7.65,7.32,831.01,846.89,867.29,829.88,7.5051,850.864452155,113.371501,474329.58
000002.SZ,2012-01-05,7.25,7.31,7.42,7.19,821.94,828.75,841.22,815.14,7.3325,831.296531082,113.371501,528117.81
000002.SZ,2012-01-06,7.16,7.27,7.33,7.06,811.74,824.21,831.01,800.4,7.1722,813.123079472,113.371501,542769.61
000002.SZ,2012-01-09,7.41,7.16,7.41,7.08,840.08,811.74,840.08,802.67,7.2329,820.004729583,113.371501,846037.78
000002.SZ,2012-01-10,7.53,7.35,7.61,7.32,853.69,833.28,862.76,829.88,7.4663,846.465637916,113.371501,1077976.78
000002.SZ,2012-01-11,7.46,7.5,7.57,7.43,845.75,850.29,858.22,842.35,7.4822,848.268244782,113.371501,482934.69
000002.SZ,2012-01-12,7.52,7.42,7.71,7.41,852.55,841.22,874.09,840.08,7.5687,858.074879619,113.371501,559866.64
000002.SZ,2012-01-13,7.46,7.51,7.56,7.34,845.75,851.42,857.09,832.15,7.4557,845.263900006,113.371501,392238.43
000002.SZ,2012-01-16,7.37,7.4,7.56,7.35,835.55,838.95,857.09,833.28,7.4383,843.291235888,113.371501,337833.92
000002.SZ,2012-01-17,7.58,7.35,7.68,7.22,859.36,833.28,870.69,818.54,7.479,847.905455979,113.371501,882229.15
000002.SZ,2012-01-18,7.51,7.56,7.68,7.47,851.42,857.09,870.69,846.89,7.5632,857.451336363,113.371501,485527.24
000002.SZ,2012-01-19,7.79,7.55,7.8,7.51,883.16,855.95,884.3,851.42,7.7176,874.955896118,113.371501,866994.02
000002.SZ,2012-01-20,7.9,7.8,7.96,7.77,895.63,884.3,902.44,880.9,7.8912,894.637188691,113.371501,896864.73
000002.SZ,2012-01-30,7.55,7.85,7.88,7.52,855.95,889.97,893.37,852.55,7.6581,868.210291808,113.371501,1053049.88
000002.SZ,2012-01-31,7.65,7.55,7.7,7.55,867.29,855.95,872.96,855.95,7.6207,863.970197671,113.371501,355029.38
000002.SZ,2012-02-01,7.56,7.61,7.75,7.52,857.09,862.76,878.63,852.55,7.6356,865.659433036,113.371501,500975.91
000002.SZ,2012-02-02,7.68,7.59,7.7,7.49,870.69,860.49,872.96,849.15,7.5823,859.616732032,113.371501,412731.68
000002.SZ,2012-02-03,7.79,7.66,7.85,7.61,883.16,868.43,889.97,862.76,7.7511,878.753841401,113.371501,636448.36
000002.SZ,2012-02-06,7.62,7.77,7.82,7.61,863.89,880.9,886.57,862.76,7.7075,873.810843957,113.371501,522439.87
000002.SZ,2012-02-07,7.38,7.6,7.65,7.38,836.68,861.62,867.29,836.68,7.4429,843.812744793,113.371501,803365.12
000002.SZ,2012-02-08,7.59,7.42,7.72,7.38,860.49,841.22,875.23,836.68,7.5481,855.739426698,113.371501,820444.78
000002.SZ,2012-02-09,7.7,7.6,7.81,7.53,872.96,861.62,885.43,853.69,7.7259,875.896879576,113.371501,1261429.79
000002.SZ,2012-02-10,7.85,7.72,8.03,7.72,889.97,875.23,910.37,875.23,7.9216,898.083682322,113.371501,1789250.69
000002.SZ,2012-02-13,7.7,7.56,7.8,7.43,872.96,857.09,884.3,842.35,7.6319,865.239958482,113.371501,912145.03
000002.SZ,2012-02-14,7.7,7.65,7.72,7.54,872.96,867.29,875.23,854.82,7.6059,862.292299456,113.371501,876265.01
000002.SZ,2012-02-15,7.82,7.65,7.82,7.61,886.57,867.29,886.57,862.76,7.7533,879.003258703,113.371501,541760.79
000002.SZ,2012-02-16,7.79,7.78,7.82,7.68,883.16,882.03,886.57,870.69,7.753,878.969247253,113.371501,399850.36
000002.SZ,2012-02-17,7.79,7.85,7.87,7.71,883.16,889.97,892.23,874.09,7.7752,881.486094575,113.371501,446156.59
000002.SZ,2012-02-20,7.83,7.92,8.01,7.8,887.7,897.9,908.11,884.3,7.9256,898.537168326,113.371501,718612.54
000002.SZ,2012-02-21,7.92,7.84,7.93,7.78,897.9,888.83,899.04,882.03,7.8495,889.909597099,113.371501,379575.54
000002.SZ,2012-02-22,8.19,7.98,8.2,7.98,928.51,904.7,929.65,904.7,8.126,921.256817126,113.371501,1212737.46
000002.SZ,2012-02-23,8.19,8.2,8.3,8.15,928.51,929.65,940.98,923.98,8.2081,930.564617358,113.371501,759988.06
000002.SZ,2012-02-24,8.51,8.19,8.6,8.15,964.79,928.51,974.99,923.98,8.3907,951.266253441,113.371501,1176551.27
