symbol,date,close,open,high,low,adjclose,adjopen,adjhigh,adjlow,vwap,adjvwap,adjfactor,volume
600000.SH,2012-01-04,8.41,8.54,8.56,8.39,55.97,56.84,56.97,55.84,8.4859,56.4759981225,6.655275,342013.79
600000.SH,2012-01-05,8.65,8.47,8.82,8.47,57.57,56.37,58.7,56.37,8.6647,57.6659612925,6.655275,1321162.03
600000.SH,2012-01-06,8.71,8.63,8.78,8.62,57.97,57.44,58.43,57.37,8.693,57.854305575,6.655275,617786.87
600000.SH,2012-01-09,8.95,8.72,8.99,8.68,59.56,58.03,59.83,57.77,8.8778,59.084200395,6.655275,801362.49
600000.SH,2012-01-10,9.07,8.95,9.1,8.88,60.36,59.56,60.56,59.1,8.9884,59.82027381,6.655275,720046.32
600000.SH,2012-01-11,9.0,9.05,9.1,8.98,59.9,60.23,60.56,59.76,9.0206,60.034573665,6.655275,492611.57
600000.SH,2012-01-12,9.09,9.0,9.21,8.99,60.5,59.9,61.3,59.83,9.1137,60.6541797675,6.655275,604869.81
600000.SH,2012-01-13,9.04,9.11,9.18,8.97,60.16,60.63,61.1,59.7,9.0725,60.3799824375,6.655275,567253.32
600000.SH,2012-01-16,8.97,9.0,9.12,8.96,59.7,59.9,60.7,59.63,9.04,60.163686,6.655275,331001.6
600000.SH,2012-01-17,9.2,9.0,9.26,8.79,61.23,59.9,61.63,58.5,9.0025,59.9141131875,6.655275,973572.63
600000.SH,2012-01-18,9.04,9.16,9.23,9.0,60.16,60.96,61.43,59.9,9.1116,60.64020369,6.655275,580892.89
600000.SH,2012-01-19,9.2,9.05,9.22,9.02,61.23,60.23,61.36,60.03,9.1598,60.960987945,6.655275,686455.71
600000.SH,2012-01-20,9.42,9.25,9.43,9.17,62.69,61.56,62.76,61.03,9.2943,61.8561224325,6.655275,950527.03
600000.SH,2012-01-30,9.22,9.4,9.41,9.2,61.36,62.56,62.63,61.23,9.2967,61.8720950925,6.655275,718831.55
600000.SH,2012-01-31,9.22,9.24,9.28,9.16,61.36,61.49,61.76,60.96,9.2139,61.3210383225,6.655275,354641.04
600000.SH,2012-02-01,9.08,9.2,9.26,9.05,60.43,61.23,61.63,60.23,9.1484,60.88511781,6.655275,396478.88
600000.SH,2012-02-02,9.4,9.12,9.42,9.08,62.56,60.7,62.69,60.43,9.2789,61.7536311975,6.655275,879733.31
600000.SH,2012-02-03,9.44,9.35,9.5,9.32,62.83,62.23,63.23,62.03,9.4197,62.6906939175,6.655275,971353.12
600000.SH,2012-02-06,9.39,9.46,9.51,9.29,62.49,62.96,63.29,61.83,9.406,62.59951665,6.655275,636912.81
600000.SH,2012-02-07,9.24,9.32,9.36,9.18,61.49,62.03,62.29,61.1,9.2612,61.63583283,6.655275,513914.02
600000.SH,2012-02-08,9.45,9.23,9.48,9.23,62.89,61.43,63.09,61.43,9.379,62.419824225,6.655275,642707.17
600000.SH,2012-02-09,9.4,9.45,9.48,9.36,62.56,62.89,63.09,62.29,9.4156,62.66340729,6.655275,502738.54
600000.SH,2012-02-10,9.37,9.36,9.48,9.32,62.36,62.29,63.09,62.03,9.3959,62.5322983725,6.655275,518364.88
600000.SH,2012-02-13,9.27,9.25,9.37,9.18,61.69,61.56,62.36,61.1,9.2757,61.7323343175,6.655275,492049.66
600000.SH,2012-02-14,9.19,9.24,9.28,9.13,61.16,61.49,61.76,60.76,9.1853,61.1306974575,6.655275,530248.69
600000.SH,2012-02-15,9.23,9.16,9.29,9.14,61.43,60.96,61.83,60.83,9.2166,61.339007565,6.655275,550647.6
600000.SH,2012-02-16,9.19,9.25,9.28,9.14,61.16,61.56,61.76,60.83,9.2101,61.2957482775,6.655275,475017.99
600000.SH,2012-02-17,9.26,9.25,9.31,9.2,61.63,61.56,61.96,61.23,9.2613,61.6364983575,6.655275,417432.92
600000.SH,2012-02-20,9.26,9.41,9.41,9.25,61.63,62.63,62.63,61.56,9.3392,62.15494428,6.655275,577400.09
